uid,lat,lon,aqi,station_name,recorded_at,etl_insert_ts,etl_update_ts
-403714,55.352,-118.793,92,AQSU-58E8,2023-08-22T05:40:56+09:00,2023-08-21 13:51:39.833311,2023-08-21 13:51:39.833311
-403309,6.227534,1.187859,86,AGOE-MINAMADOU-LOCAL SABI [Columbia Uni LDEO],2023-08-22T05:41:20+09:00,2023-08-21 13:51:39.833311,2023-08-21 13:51:39.833311
-403210,47.388786,-78.70055,34,Belleterre,2023-08-22T05:40:49+09:00,2023-08-21 13:51:39.833311,2023-08-21 13:51:39.833311
-403162,47.33301,-79.444115,113,CH Ville Marie,2023-08-19T04:33:32+09:00,2023-08-18 14:31:07.703599,2023-08-18 14:31:07.703599
-403069,49.052486,-76.97599,38,Lebel-sur-Quévillon,2023-08-22T05:40:20+09:00,2023-08-18 14:31:07.703599,2023-08-21 13:51:39.833311
-402937,47.0497,50.8038,72,Жанбай,2023-08-22T05:39:26+09:00,2023-08-21 13:51:39.833311,2023-08-21 13:51:39.833311
-402931,50.2498,58.4365,113,Хромтау,2023-08-19T04:34:36+09:00,2023-08-18 14:31:07.708383,2023-08-18 14:31:07.708383
-402916,36.043863,14.239607,93,Gozo,2023-08-22T05:35:00+09:00,2023-08-18 14:31:07.708383,2023-08-21 13:51:39.833311
-402856,83.594,-36.02,159,B106,2023-08-22T05:39:04+09:00,2023-08-21 13:51:39.833311,2023-08-21 13:51:39.833311
-402844,83.597,-36.09,106,B103,2023-08-19T04:34:37+09:00,2023-08-18 14:31:07.708383,2023-08-18 14:31:07.708383
-402814,46.606,49.2671,70,Ганюшкино,2023-08-22T05:39:45+09:00,2023-08-18 14:31:07.708383,2023-08-21 13:51:39.833311
-402760,46.541027,-87.40302,62,marquetteweather.com,2023-08-22T05:41:25+09:00,2023-08-18 14:31:07.708383,2023-08-21 13:51:39.833311
-402265,47.607033,-79.47044,47,Timiskaming First Nation,2023-08-22T05:41:00+09:00,2023-08-21 13:51:39.833311,2023-08-21 13:51:39.833311
-402076,35.0630442,-106.6204493,62,"Health Equity Council #4, Loma Linda Community Center",2023-08-22T04:00:00+09:00,2023-08-21 13:51:39.833311,2023-08-21 13:51:39.833311
-401917,47.645,53.3322,63,Макат,2023-08-22T05:39:16+09:00,2023-08-18 14:31:07.708383,2023-08-21 13:51:39.833311
-401809,44.74193,-65.50652,95,AQSU-CB7A,2023-08-22T05:40:23+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-401467,45.06894,-64.47804,92,AQSU-BF9B,2023-08-22T05:42:37+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-401395,43.7008,-65.1153,23,AQSU-C152,2023-08-19T04:34:34+09:00,2023-08-18 14:31:07.708383,2023-08-18 14:31:07.708383
-401311,55.154,14.722,29,Jens Koefoeds Vej,2023-08-19T04:35:05+09:00,2023-08-18 14:31:07.708383,2023-08-18 14:31:07.708383
-401077,49.21773364876253,28.44979464092501,55,Svobody Boulevard,2023-08-19T04:35:00+09:00,2023-08-18 14:31:07.708383,2023-08-18 14:31:07.708383
-401038,-37.6040956842267,144.22511167152396,50,Myndworx Asylum & Fabrification Facility,2023-08-22T05:42:49+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-400951,51.3632,-55.587,30,AQSU-68F9,2023-08-22T05:41:43+09:00,2023-08-18 14:31:07.708383,2023-08-21 13:51:39.834293
-400864,20.28237899,100.40327905,69,รร.แม่น้ำของ,2023-08-19T04:31:04+09:00,2023-08-18 14:31:07.708383,2023-08-18 14:31:07.708383
-400783,47.0962,-55.7591,74,AQSU-DDCE,2023-08-22T05:42:34+09:00,2023-08-18 14:31:07.708383,2023-08-21 13:51:39.834293
-400501,54.942,73.444,121,3-я Железнодорожная улица,2023-08-19T01:48:27+09:00,2023-08-18 14:31:07.708383,2023-08-18 14:31:07.708383
-400270,15.00258994821274,120.75025626843033,201,"Quezon Rd, San Simon",2023-08-22T04:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-400174,51.189003,3.145342,104,Exira,2023-08-19T04:35:53+09:00,2023-08-18 14:31:07.709548,2023-08-18 14:31:07.709548
-399967,50.89023659989435,34.75534958565044,54,Romenska Street,2023-08-19T04:35:00+09:00,2023-08-18 14:31:07.709548,2023-08-18 14:31:07.709548
-399916,-32.0722349,-52.1655279,17,Rio Grande University,2023-08-22T05:43:02+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-399880,-69.540985,-179.51013,33,AQSU-D12E,2023-08-22T05:39:51+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-399721,32.86989,-117.25125,58,Nierenberg Hall,2023-08-19T03:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-18 14:31:07.709548
-399697,42.904248,74.563678,105,zh/m Kolmo,2023-08-22T04:00:00+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-399667,4.932,8.33,48,"CRUTECH,Calabar - CAR",2023-08-22T04:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-399613,36.01958888490562,-120.90439519586954,57,SanArdo School,2023-08-19T03:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-18 14:31:07.709548
-399589,17.019275,-25.064286,21,Porto Novo Santo Antão,2023-08-22T04:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-399550,16.061944,-16.423333,26,UGB-PSU,2023-08-22T04:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-399433,5.572646,5.841162,89,Federal University of Petroleum Resources Effurun - CAR,2023-08-22T04:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-399355,16.599833,-22.907778,1,"Sta Maria, Sal",2023-08-19T03:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-18 14:31:07.709548
-399205,0.3075413,32.6205939,159,Bugolobi - KLA,2023-08-22T04:00:00+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-399172,4.8002513,6.9827627,37,Rivers State University Port Harcourt - CAR,2023-08-22T04:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-398998,-12.741229999999998,15.74932,213,ISCED-Huambo,2023-08-19T03:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-18 14:31:07.709548
-398944,14.92445,-23.50927,31,"Praia, Fazenda",2023-08-22T04:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-398938,36.61397476196859,-121.91984779449454,93,Pacific Grove Middle School,2023-08-22T04:00:00+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-398935,13.936804,121.78583,80,Pagbilao 2,2023-08-22T04:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-398860,6.726802,-1.657588,104,"County Hospital, Abrepo, Kumasi [Ghana AQ Project]",2023-08-22T04:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-398815,38.84848799999735,-122.75794600000047,155,Glenbrook,2023-08-22T04:00:00+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-398800,42.860757,74.525048,140,"ул. Лущихина, 79",2023-08-19T03:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-18 14:31:07.709548
-398797,16.175278,-22.915028,11,"Sal Rei, Boa Vista",2023-08-22T04:00:00+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-398680,32.8855608,-117.2392767,26,RIMAC Arena,2023-08-22T04:00:00+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-398593,-8.8077875,13.2386689,107,UAN-Luanda,2023-08-22T04:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-398554,0.3579283,32.5843603,160,Kyebando - KLA,2023-08-19T03:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-18 14:31:07.709548
-398530,33.78616669,-118.2457519,100,Wilmington Pk ES (7781),2023-08-19T03:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-18 14:31:07.709548
-398503,29.67416425,-95.33750105,180,HFD Station 35,2023-08-22T04:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-398479,13.0300674,77.5579104,78,Mathikare,2023-08-19T03:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-18 14:31:07.709548
-398467,-14.958014081585103,13.444540300111965,151,Campus ISPT,2023-08-22T04:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-398386,16.886318,-24.989064,34,"Mindelo, São Vicente",2023-08-22T04:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-398299,9.6683052,80.0229915,57,Jaffna,2023-08-22T04:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-398272,36.670791361351625,-121.63385058398634,45,Salinas - Sherwood Elementary School,2023-08-19T03:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-18 14:31:07.709548
-398251,44.621,-124.046,40,Gladys Valley Bldg,2023-08-19T03:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-18 14:31:07.709548
-398041,-11.752116,19.912623,217,ISPT - Moxico,2023-08-22T04:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-398011,10.334735,123.599164,58,Toledo 1,2023-08-22T04:00:00+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-397762,62.22864,-133.3564,16,AQSU-442E (Faro),2023-08-22T05:41:06+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-397717,14.793612,103.43056,24,Pyramid Retreat,2023-08-22T05:43:33+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-397519,50.3133,29.8699,101,"Street Tsentralna, 5",2023-08-22T05:41:37+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-397510,-7.1338954,110.437774,154,Ungaran,2023-08-22T05:42:20+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-379402,42.3893698,-2.9821426,226,Como En Casa,2023-08-22T05:43:30+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-379015,44.618,33.604,33,Менжинского улица,2023-08-22T05:40:54+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-378541,60.740948,-135.09488,29,AQSU-FB85 (Whitehorse-Takhini North),2023-08-22T05:41:43+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-378292,17.989639,-92.974892,61,Hablando al aire b537bd,2023-08-22T05:43:13+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-377965,55.04,82.918,6,Красный проспект,2023-08-22T05:41:58+09:00,2023-08-18 14:31:07.709548,2023-08-21 13:51:39.834293
-377059,-3.003657,-60.033794,85,UEA_EducAIR_7,2023-08-19T04:35:12+09:00,2023-08-18 14:31:07.709548,2023-08-18 14:31:07.709548
-376681,7.754,-76.659103,63,Waira S30 carepa 635110,2023-08-22T05:43:20+09:00,2023-08-18 14:31:07.712099,2023-08-21 13:51:39.834293
-376639,47.691259,-122.701465,122,Thomas Drive,2023-08-22T05:43:23+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
-376333,49.985,82.57,115,Электротовары,2023-08-22T05:39:55+09:00,2023-08-18 14:31:07.712099,2023-08-21 13:51:39.834293
-376099,46.5618541,17.2478463,84,Szokedencs,2023-08-22T05:42:33+09:00,2023-08-18 14:31:07.712099,2023-08-21 13:51:39.834293
-376021,50.31815,-122.72135,46,AQSU-VCH-ULLUS OUTSIDE,2023-08-19T04:34:54+09:00,2023-08-18 14:31:07.712099,2023-08-18 14:31:07.712099
-375682,-3.130093,-60.026802,63,UEA_EducAIR_1,2023-08-22T05:41:28+09:00,2023-08-21 13:51:39.834293,2023-08-21 13:51:39.834293
